id,subcategory,type_of_question,category,difficulty_score,difficulty_band,pyq_frequency_score,concept_difficulty,operations_required,problem_structure,solution_method,core_concepts,answer_match,concept_extraction_status,quality_verified,created_at
0479012e-d6bb-43d6-86de-f3089be390b5,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""Basic multiplication"", ""Understanding of units""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Correct application of formula""]}","[""Multiplication""]",Linear relationship,Direct application of the distance formula,"[""Distance"", ""Speed"", ""Time""]",True,completed,True,2025-09-11 18:01:47.599597
4d9b39c3-7fac-4bb9-a211-479298852bb7,Time-Speed-Distance,Basics,Arithmetic,1.20,Easy,0.5000,"{""prerequisites"": [""basic arithmetic"", ""understanding of units""], ""cognitive_barriers"": [""unit conversion if needed""], ""mastery_indicators"": [""ability to apply the speed formula correctly""]}","[""division""]",simple linear relationship,Direct calculation using the formula for speed,"[""distance"", ""time"", ""speed""]",True,completed,True,2025-09-11 18:01:41.904630
e023cd60-1ff1-4a58-be19-1323a099ce49,Averages and Alligation,Basic Averages,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic arithmetic"", ""understanding of averages""], ""cognitive_barriers"": [""misinterpretation of average formula""], ""mastery_indicators"": [""correct application of average formula""]}","[""multiplication"", ""addition""]",single-step calculation,Use the average formula to calculate the total sum of ages.,"[""average"", ""total sum"", ""number of people""]",True,completed,True,2025-09-11 18:00:25.095814
91d38ebb-280b-47e4-8408-c846d63d6a01,Averages and Alligation,Weighted Averages,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of density"", ""Basic arithmetic""], ""cognitive_barriers"": [""Misunderstanding of averaging""], ""mastery_indicators"": [""Correct application of average formula""]}","[""Addition"", ""Division""]",Simple arithmetic calculation,Average density calculation for equal volumes,"[""Density"", ""Mixture"", ""Average Calculation""]",True,completed,True,2025-09-11 18:01:45.324256
1368382e-2412-4f6b-9465-ddae179a3a82,Averages and Alligation,Weighted Averages,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic division"", ""understanding of weight and capacity""], ""cognitive_barriers"": [""conceptualizing optimization""], ""mastery_indicators"": [""ability to apply division to real-world scenarios""]}","[""division""]",linear optimization,Optimization by maximizing the number of items using the lightest weight,"[""division"", ""optimization"", ""weight capacity""]",True,completed,True,2025-09-11 17:55:26.493200
25908889-711e-4b47-8708-9fadc90ab009,Mensuration 2D,Area Rectangle,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometry"", ""Knowledge of the Pythagorean theorem""], ""cognitive_barriers"": [""None, as this is a straightforward application of a well-known theorem""], ""mastery_indicators"": [""Ability to apply the Pythagorean theorem to calculate diagonals""]}","[""squaring numbers"", ""addition"", ""square root extraction""]",Simple application of a geometric theorem,Apply the Pythagorean theorem to find the diagonal of a rectangle.,"[""Pythagorean theorem"", ""rectangle properties"", ""diagonal calculation""]",True,completed,True,2025-09-11 18:01:30.723889
91cfd31f-02fd-4d93-a0b1-f9af7eb044ad,Mensuration 2D,Area Trapezium,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes"", ""Knowledge of area formulas""], ""cognitive_barriers"": [""None, as the formula application is straightforward""], ""mastery_indicators"": [""Correct application of the area formula for trapezium""]}","[""addition"", ""multiplication"", ""division""]",Direct application of formula,Apply the formula for the area of a trapezium,"[""trapezium"", ""area"", ""parallel sides"", ""perpendicular distance""]",True,completed,True,2025-09-11 18:00:20.501279
5d846030-ac19-4023-97d1-2e400446158e,Mensuration 2D,Area Triangle,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of area formula for triangles""], ""cognitive_barriers"": [""Basic algebraic manipulation""], ""mastery_indicators"": [""Ability to rearrange and solve simple equations""]}","[""Multiplication"", ""Division""]",Direct Application,Algebraic Manipulation,"[""Area of Triangle"", ""Basic Algebra""]",True,completed,True,2025-09-11 18:01:37.334727
eedfb42f-766e-4503-a2ae-1e93d8a1657e,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes"", ""Addition""], ""cognitive_barriers"": [""Visualizing 3D objects""], ""mastery_indicators"": [""Correctly calculating combined heights""]}","[""Addition""]",Simple additive structure,Additive Reasoning,"[""Cylinder"", ""Sphere"", ""Height Calculation""]",True,completed,True,2025-09-11 18:00:14.761459
6f8d9716-8b5b-4218-a087-bde97fe37a2c,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Basic Geometry"", ""Understanding of \u03c0""], ""cognitive_barriers"": [""Formula Memorization""], ""mastery_indicators"": [""Correct Formula Application""]}","[""Multiplication"", ""Division""]",Single-step Calculation,Direct Application of Formula,"[""Volume of Cone"", ""Geometric Formulas""]",True,completed,True,2025-09-11 18:00:27.393678
90aa88dd-3059-4199-b4b0-265fb2d8ed58,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes"", ""Addition""], ""cognitive_barriers"": [""Visualizing 3D objects""], ""mastery_indicators"": [""Correctly calculating combined heights""]}","[""Addition""]",Simple additive structure,Additive reasoning,"[""Cylinder"", ""Sphere"", ""Distance""]",True,completed,True,2025-09-11 17:46:34.522940
1fdcb9e2-ecd5-444f-81d5-790bc276e64b,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""understanding of basic geometry"", ""knowledge of solid figures""], ""cognitive_barriers"": [""visualizing 3D objects""], ""mastery_indicators"": [""ability to calculate distances in 3D space""]}","[""addition""]",linear combination,geometric reasoning,"[""geometry"", ""solid figures"", ""distance calculation""]",True,completed,True,2025-09-11 17:51:01.097143
ef25d971-6619-4b78-90d1-ae62e4550c3d,Mensuration 3D,Volume Cylinder,Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes""], ""cognitive_barriers"": [""Visualizing 3D objects""], ""mastery_indicators"": [""Ability to sum linear dimensions""]}","[""addition""]",Linear combination,Summation of linear dimensions,"[""radius"", ""height"", ""distance""]",True,completed,True,2025-09-11 17:55:29.906189
8e65adee-eaba-46d4-b062-56360d04aeba,Mixtures and Solutions,Concentration Change,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic arithmetic"", ""understanding of percentages""], ""cognitive_barriers"": [""misinterpretation of percentage as a fraction""], ""mastery_indicators"": [""accurate percentage calculation"", ""correct unit interpretation""]}","[""multiplication"", ""unit conversion""]",single-step calculation,Direct percentage calculation,"[""percentage"", ""proportion"", ""unit conversion""]",True,completed,True,2025-09-11 18:01:36.197230
96147ad3-1326-46ad-8b1d-bd023585745a,Percentages,Successive Percentage Change,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic Percentage Calculation""], ""cognitive_barriers"": [""Understanding Sequential Changes""], ""mastery_indicators"": [""Correctly applying percentage increase and decrease""]}","[""Multiplication"", ""Subtraction""]",Sequential Operations,Sequential Percentage Calculation,"[""Percentage Increase"", ""Percentage Decrease"", ""Overall Percentage Change""]",True,completed,True,2025-09-11 18:01:46.462201
f7e0ff85-167c-4514-95f6-93743f3d5b47,Ratios and Proportions,Direct and Inverse Variation,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic multiplication"", ""division""], ""cognitive_barriers"": [""understanding unit rate""], ""mastery_indicators"": [""ability to calculate cost for different quantities""]}","[""division"", ""multiplication""]",linear proportionality,unit rate calculation,"[""proportion"", ""unit rate"", ""multiplication""]",True,completed,True,2025-09-11 18:00:21.651697
5ad709ef-752c-4721-aeb2-9c2211d04fd0,Ratios and Proportions,Simple Rations,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""understanding of ratios"", ""basic division""], ""cognitive_barriers"": [""misinterpretation of ratio components""], ""mastery_indicators"": [""correctly setting up and solving ratio equations""]}","[""division"", ""multiplication""]",linear proportional reasoning,ratio and proportion analysis,"[""ratios"", ""proportions"", ""basic arithmetic""]",True,completed,True,2025-09-11 18:00:10.165837
e3762172-e4e7-4b25-b2a8-8583c02965f4,Time-Speed-Distance,Basics,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic subtraction"", ""Understanding of distance""], ""cognitive_barriers"": [""Sequential reasoning""], ""mastery_indicators"": [""Ability to perform sequential calculations""]}","[""Subtraction""]",Sequential calculation,Sequential subtraction based on given conditions,"[""Distance"", ""Subtraction"", ""Sequential Reasoning""]",True,completed,True,2025-09-11 17:55:37.945662
bbaa9070-ffc0-4b70-a131-2e4178452d8c,Time-Speed-Distance,Basics,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic Arithmetic"", ""Understanding of Distance""], ""cognitive_barriers"": [""Sequential Reasoning""], ""mastery_indicators"": [""Ability to perform simple arithmetic operations""]}","[""Subtraction""]",Sequential Reduction,Sequential Calculation,"[""Distance"", ""Subtraction"", ""Linear Relationships""]",True,completed,True,2025-09-11 17:51:11.435475
70418b84-2fc7-4352-a33e-80ac393cb6c3,Time-Speed-Distance,Basics,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic"", ""Understanding of speed, distance, and time""], ""cognitive_barriers"": [""Misunderstanding average speed calculation""], ""mastery_indicators"": [""Correctly calculating average speed from given data""]}","[""Multiplication"", ""Addition"", ""Division""]",Sequential calculation,"Calculate total distance and total time, then divide distance by time","[""Average Speed"", ""Distance"", ""Time""]",True,completed,True,2025-09-11 17:52:55.762386
c678c540-5148-432b-8cca-6ff987243c0e,Time-Speed-Distance,Basics,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic"", ""Understanding of speed, distance, and time relationship""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to apply the speed formula correctly""]}","[""Addition"", ""Division""]","Linear relationship between speed, distance, and time",Direct calculation using the formula speed = distance/time,"[""Speed"", ""Distance"", ""Time""]",True,completed,True,2025-09-11 18:01:52.190313
5c42bb2b-49b6-440b-9c75-4df9c3776fde,Time-Speed-Distance,Basics,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic arithmetic"", ""understanding of speed, distance, and time""], ""cognitive_barriers"": [""misinterpretation of average speed""], ""mastery_indicators"": [""correct application of average speed formula""]}","[""multiplication"", ""addition"", ""division""]",linear calculation,Divide total distance by total time,"[""average speed"", ""distance"", ""time""]",True,completed,True,2025-09-11 18:01:43.047557
361fa1d7-9085-484c-bd28-a85ebf67a502,Time-Speed-Distance,Relative Speed,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic algebra"", ""understanding of speed and distance""], ""cognitive_barriers"": [""visualizing relative motion""], ""mastery_indicators"": [""ability to solve relative speed problems""]}","[""addition"", ""division""]",two-object relative motion,relative speed analysis,"[""relative speed"", ""time and distance"", ""meeting point""]",True,completed,True,2025-09-11 17:53:49.760616
e2fe7cd9-070a-413a-ac22-06ebc567992b,Time-Speed-Distance,Relative Speed,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic Algebra"", ""Understanding of Speed and Distance""], ""cognitive_barriers"": [""Concept of Relative Motion""], ""mastery_indicators"": [""Ability to solve relative speed problems""]}","[""Subtraction"", ""Division""]","Linear relationship between speed, distance, and time",Using relative speed to calculate time,"[""Relative Speed"", ""Distance-Time Relationship""]",True,completed,True,2025-09-11 17:57:42.612952
a12d257e-70b7-4afc-ac12-b3b46527ee61,Time-Speed-Distance,Relative Speed,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""Basic arithmetic"", ""Understanding of relative motion""], ""cognitive_barriers"": [""Misinterpretation of directionality in speed""], ""mastery_indicators"": [""Correct application of relative speed formulas""]}","[""Addition"", ""Subtraction""]",Two-part calculation with directional consideration,Relative speed calculation,"[""Relative Speed"", ""Addition and Subtraction of Speeds""]",True,completed,True,2025-09-11 18:00:07.870298
cb325e54-1f08-4a7b-a5f5-8f65743bf16c,Time-Speed-Distance,Relative Speed,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic arithmetic"", ""understanding of speed and distance""], ""cognitive_barriers"": [""concept of relative speed""], ""mastery_indicators"": [""ability to calculate time using relative speed""]}","[""subtraction"", ""division""]",linear relationship,relative speed calculation,"[""relative speed"", ""circular track"", ""time calculation""]",True,completed,True,2025-09-11 17:53:25.637215
907e830f-479f-4040-9c25-fe4c2f1bfa31,Time-Speed-Distance,Relative Speed,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic arithmetic"", ""understanding of speed and distance""], ""cognitive_barriers"": [""concept of relative speed""], ""mastery_indicators"": [""ability to solve relative motion problems""]}","[""addition"", ""division""]",linear relationship,Use of relative speed to calculate time,"[""relative speed"", ""distance"", ""time""]",True,completed,True,2025-09-11 17:47:02.094340
14cb5f72-14f7-40f2-8151-239334805237,Time-Work,Work Time Effeciency,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""basic multiplication"", ""understanding of proportions""], ""cognitive_barriers"": [""misinterpretation of inverse relationship""], ""mastery_indicators"": [""correct application of worker-time relationship""]}","[""multiplication"", ""division""]",inverse proportionality,use of inverse proportionality between workers and time,"[""work"", ""workers"", ""time""]",True,completed,True,2025-09-11 18:00:26.243464
9944ee74-ab9b-4e55-8669-300d138b4698,Time-Work,Work Time Effeciency,Arithmetic,1.50,Easy,0.5000,"{""prerequisites"": [""understanding of fractions"", ""basic arithmetic""], ""cognitive_barriers"": [""concept of work rates"", ""combining rates""], ""mastery_indicators"": [""ability to calculate combined rates"", ""understanding reciprocal relationships""]}","[""addition"", ""reciprocal calculation""]",linear combination of rates,Rate addition and reciprocal calculation,"[""work rate"", ""combined work rate"", ""reciprocal addition""]",True,completed,True,2025-09-11 18:01:40.756863
3acac69f-c438-4581-9c98-1f6422c82ffc,Triangles,"Properties (Angles, Sides, Medians, Bisectors)",Geometry and Mensuration,1.50,Easy,0.5000,"{""prerequisites"": [""Understanding of basic geometric shapes"", ""Knowledge of area formulas""], ""cognitive_barriers"": [""None""], ""mastery_indicators"": [""Ability to apply area formula to right triangles""]}","[""Multiplication"", ""Division""]",Single-step Calculation,Direct Application of Area Formula,"[""Area of Triangle"", ""Right Triangle"", ""Basic Multiplication""]",True,completed,True,2025-09-11 18:00:13.614059
b2252656-1fe7-4e7e-983b-8154b0b74a80,Percentages,Basics,Arithmetic,2.00,Easy,1.0000,"{""prerequisites"": [""basic algebra"", ""percentage calculations""], ""cognitive_barriers"": [""understanding proportional relationships""], ""mastery_indicators"": [""ability to manipulate linear equations""]}","[""multiplication"", ""subtraction"", ""division""]",linear proportionality,algebraic manipulation,"[""percentage"", ""proportion"", ""linear relationships""]",True,completed,True,2025-09-11 17:55:23.078829
ef41a444-6459-4c12-a75f-4326cbf2fa4e,Profit-Loss-Discount,Basics,Arithmetic,2.00,Easy,1.0000,"{""prerequisites"": [""Basic arithmetic operations"", ""Understanding of profit and loss""], ""cognitive_barriers"": [""Misinterpretation of profit/loss calculation""], ""mastery_indicators"": [""Correctly calculating profit/loss percentage""]}","[""Multiplication"", ""Addition"", ""Subtraction"", ""Division""]",Two-step calculation involving cost and revenue comparison,"Calculate total cost and revenue, then determine profit/loss percentage","[""Profit and Loss"", ""Percentage Calculation""]",True,completed,True,2025-09-11 18:00:09.018233
1d7d5c22-99fb-44d1-84a8-b9d2ddc71df1,Time-Work,Work Time Effeciency,Arithmetic,2.00,Easy,1.0000,"{""prerequisites"": [""understanding of fractions"", ""basic arithmetic""], ""cognitive_barriers"": [""concept of work rates"", ""combining rates""], ""mastery_indicators"": [""correctly applying work rate addition"", ""understanding reciprocal relationships""]}","[""addition"", ""reciprocal calculation""]",linear combination of rates,Additive work rate approach,"[""work rate"", ""combined work"", ""reciprocal addition""]",True,completed,True,2025-09-11 17:53:32.529046
69715ff1-1c01-4682-bc86-a2229b316f66,Time-Work,Work Time Effeciency,Arithmetic,2.00,Easy,1.0000,"{""prerequisites"": [""understanding of fractions"", ""basic arithmetic operations""], ""cognitive_barriers"": [""conceptualizing work rates"", ""combining rates""], ""mastery_indicators"": [""ability to solve similar work rate problems"", ""understanding of inverse relationships in rates""]}","[""addition"", ""multiplication"", ""division""]",linear combination of rates,"Calculate individual work rates, sum them, and find the inverse to determine total time.","[""work rate"", ""addition of fractions"", ""inverse operations""]",True,completed,True,2025-09-11 17:58:37.714209
de1cbb9d-5c42-4c22-af5e-a576d3339713,Circles,Tangents & Chords,Geometry and Mensuration,2.50,Medium,1.0000,"{""prerequisites"": [""Understanding of basic geometry"", ""Knowledge of square properties""], ""cognitive_barriers"": [""Visualizing geometric relationships"", ""Applying the Pythagorean theorem""], ""mastery_indicators"": [""Ability to relate circle and square properties"", ""Correctly calculating areas""]}","[""Multiplication"", ""Division"", ""Square root extraction""]",Geometric relationship analysis,"Use the relationship between the diagonal of the square and the diameter of the circle to find the side length of the square, then calculate the area.","[""circle"", ""square"", ""diagonal"", ""Pythagorean theorem""]",True,completed,True,2025-09-11 17:51:17.182417
c9af9497-c53d-4148-83fe-8abb1446bc59,Percentages,Basics,Arithmetic,2.50,Medium,1.0000,"{""prerequisites"": [""basic algebra"", ""percentage calculations""], ""cognitive_barriers"": [""understanding of ratios"", ""conversion of percentages""], ""mastery_indicators"": [""ability to set up equations"", ""accurate percentage calculations""]}","[""multiplication"", ""subtraction""]",two-step calculation,algebraic manipulation,"[""percentage"", ""ratios"", ""linear equations""]",True,completed,True,2025-09-11 17:00:28.403941
68a035b8-444d-4ae2-aea9-dbd03dc8a2fd,Percentages,Basics,Arithmetic,2.50,Medium,1.0000,"{""prerequisites"": [""basic arithmetic"", ""understanding of percentages""], ""cognitive_barriers"": [""translating word problems into equations""], ""mastery_indicators"": [""ability to manipulate algebraic expressions"", ""correctly calculate percentages""]}","[""multiplication"", ""addition"", ""subtraction"", ""division""]",word problem with algebraic representation,algebraic manipulation and percentage calculation,"[""percentage"", ""ratio"", ""proportion""]",True,completed,True,2025-09-11 17:50:56.503229
7746bcdb-ee4e-4b16-9e41-9920abee0e20,Percentages,Basics,Arithmetic,2.50,Medium,1.0000,"{""prerequisites"": [""basic algebra"", ""understanding of percentages""], ""cognitive_barriers"": [""translating word problems into equations""], ""mastery_indicators"": [""ability to set up and solve equations from word problems""]}","[""multiplication"", ""addition"", ""subtraction"", ""division""]",linear relationship and percentage calculation,algebraic manipulation and percentage calculation,"[""percentage"", ""proportional reasoning"", ""algebraic expressions""]",True,completed,True,2025-09-11 17:46:28.779033
f726e8d4-3b52-4a10-8e02-e51499c813f6,Ratios and Proportions,Simple Rations,Arithmetic,2.50,Medium,1.0000,"{""prerequisites"": [""understanding of ratios"", ""basic algebra""], ""cognitive_barriers"": [""translating word problems into equations""], ""mastery_indicators"": [""ability to solve inequalities"", ""ability to manipulate ratios""]}","[""multiplication"", ""inequality solving""]",linear inequality with ratio constraint,algebraic manipulation,"[""ratios"", ""inequalities"", ""proportional reasoning""]",True,completed,True,2025-09-11 17:58:33.118460
f5538825-9455-490e-8323-972eaec37848,Time-Speed-Distance,Basics,Arithmetic,2.50,Medium,1.0000,"{""prerequisites"": [""Basic arithmetic"", ""Understanding of speed, distance, and time relationships""], ""cognitive_barriers"": [""Interpreting word problems"", ""Dividing time into equal segments""], ""mastery_indicators"": [""Ability to apply distance = speed \u00d7 time formula"", ""Correctly segmenting time""]}","[""Multiplication"", ""Addition""]",Sequential calculation based on time segments,Divide total time into segments and calculate distance for each segment,"[""Distance"", ""Speed"", ""Time""]",True,completed,True,2025-09-11 17:48:25.118929
